année;Titre;Produit Par ;Réalisé par ;Principaux Interprètes;Date de sortie;Nombre de Jours  de Tournages
2013;La French;Légende Film;Cédric JIMENEZ;Jean Dujardin, Gilles Lelouche, Benoit Magimel;Octobre 2014;
2013;La marche;CHI-FOU-MI Production;Nabil BEN YADIR;Djamel Debbouze, Olivier Gourmet, Tewfik Jallab, Charlotte Lebon;Novembre 2013;
2013;Max et Lenny;Chaz Productions;Frédéric NICOLAS;Camélia Pand'or;2014;
2013;Le fil d'Ariane;AGAT Films & CIE Ex Nihilo;Robert GUEDIGUIAN;Ariane Ascaride, Gérard Meylan, Jean-Pierre Darroussin;Juin 2014;
2013;Journey to the west;Neon productions, House on Fire et Resurgence Groupe;Tsai MING LING;Lee Kang Sheng, Denis Lavant;;
2013;De guerre lasse;Elzevir Films;Olivier PANCHOT;Jalili Lespert, Tchéky Karyo, Hiam Abbass;7 mai 2014;
2013;Fidelio : l'odyssée d'Alice;Why not productions, Arte France Cinéma;Lucie BORLETEAU;Ariane Labed, Melvine Poupaud, Anders Danielsen Lie;9 aout 2014;
2013;Le chant des cigales;M Images production cinématographique;Ali BERKENNOU;;;
2013;Marsella;Tornosol films et Néon Production Film espagnol;Belen MACIAS;;;
2013;CVStreet;Association CVStreet;Cyril SLUCKI, Joshua FITOUSSI;Fatima Djahafi, Gilles Spadari, Gérard Dubouche, Cyril Rosique et Alexandre Attias. ;Juin 2013;
2013;Le voyage vers la mère;M-Film et Fluid Company;Mikhail KOSYREV-NESTEROV;Adèle Exarchopoulos, Artiom Alexeiev;2014;
2014;TETE BAISSEE;LE PACTE;Kamen Kalev;Melvil Poupaud, Youssef Hajdi , Aylin YAY, Hocine Choutri;14/10/15;6
2014;THE KIND WORDS;NEON PRODUCTIONS;Shemi Zarhin;Rotem Zissman-Cohen, Roy Assaf, Assaf Ben-Shimon, Tsahi Halevi, Maurice Bénichou, Louise Portal;25/05/16;5
2014;JUSTE SAM;S&B PRODUCTION;Sabrina Nouchi;Erika Fekrane,  Sabrina Nouchi, Jonathan Lieutaud, Damien Vincent, Mireille Fievet, Franck Libert, Barbak;04/2014;25
2014;CAPRICE;MOBY DICK FILMS;Emmanuel Mouret;Emmanuel Mouret, Virginie Effira, Anais Demoustier, Laurent Stocker, Thomas Blanchard;22/04/15;4
2014;ENTRE AMIS;ESKWAD;Olivier Baroux;Daniel Auteuil , Gérard Jugnot, François Berléand, Zabou Breitman, Mélanie Doutey;22/04/15;20
2014;MAINTENANT ILS PEUVENT VENIR;KG PRODUCTIONS;Salem Brahimi;Amazigh Kateb, Rachida Brakni, Sonia Amori, Abdelkrim Bahloul, Lounes Tazairt;10/09/15;15
2014;HISTOIRE D'UN FEU;LA MUTANTE;Chloé Scialom;Alphéa Pouget, Blandine Voineau, Ouahib Mortada, Nour;12/2014;12
2014;LOTUS BUS;DONG NYUR FILM;Jeon Soo-Il;Jae-hyeon Jo et Mi Kwan Lock;2015;6
2014;UNE HISTOIRE DE FOU;AGAT FILMS;Robert Guédiguian;Ariane Ascaride, Simon Abkarian, Grégoire Leprince-Ringuet, Syrus Shahidi, Razane Jammal;16/04/16;10
2014;RAOUL ET ANNINA;SIMON AVEROUS;Simon Avérous;Anne Duverneuil, Nathan Bernat, Olivier Gandrille;2015;4
2014;FATIMA;ISTIQLAL FILMS;Philippe Faucon;Zita Hanrot, Soria Zeroual, Kenza Noah Aiche, Franck Andrieux, Mehdi Senoussi;07/10/15;5
2014;LES 1001 NUITS;SHELLAC SUD;Miguel Gomes;Cristina Alfaiate, Adriano Luz, Carloto Cotta, Américo Silva, Dinarte Branco ;2015;10
2014;JE SUIS UN SOLDAT;MON VOISIN PRODUCTIONS;Laurent Larivière;Louise Bourgoin, Jean-Hugues Anglade, Anne Benoit, Laurent Capelluto, Nina Meurisse;20/05/15;1
2014;POINT BREAK;LOUKA FILMS COMPANY;Ericson Core/ Peter Collister;Luke Bracey, Edgar Ramirez, Teresa Palmer, Ray Winstone, Delroy Lindo;03/12/15;2
2014;OUT OF LOVE;TOPKAPI FILMS;Paloma Aguilera Valdebenito;Naomi Velissariou, Danil Vorobyev;2015;2
2015;CEZANNE ET MOI;G Films France;Danièle Thompson;Guillaume Canet, Guillaume Galienne;2016;1
2015;CHOUF;Tessalit;Karim Dridi;Sofian Khammes, Foued Nabba.;05/10/16;47
2015;CHUZPE;Tom nagy Photogrpahy;Isabel Kleefeld;Dieter HALLERVORDEN, Anja KLING;05/09/15;1
2015;CORNICHE KENNEDY;Everybody on Deck;Dominique Cabrera;;2016;40
2015;DEMAIN TOUT COMMENCE;Vendome production;Hugo Gelin;Omar Sy;2016;1
2015;DUMMY;Kedge Business School   Olivier Allavena;;Yichun Chen, Sofia Belkamel;;2
2015;ET MON COEUR TRANSPARENT;Injam production;David Vital-Durand, Raphael Vital-Durand;Caterina Murino, Julien Boisselier, Sara Giraudeau, Serge Riaboukine;;7
2015;ETERNITE;Nord-Ouest Films;Tran Anh Hung;Mélanie Laurent, Audrey Tautou, Bérénice Bejo;24/08/16;1
2015;LA VACHE;Mitico Quad Cinéma;Mohamed Hamidi;Lambert Wilson, Jamel Debbouze;2016;2
2015;LE GRAND REVERS;SNC Nium;Saidoun Achour;;;6
2015;LIMBES;"Cosmographe
Productions";Tamara Stepanyan;;;16
2015;ONE WAY TICKET;Prodywood;Kamal Nathani;Sachit Patif, Amruta, Neha Mahajam;2016;1
2015;VINCENT ET LA FIN DU MONDE;Société Les Enragés;Christophe Van Rompaey;Alexandra Lamy, Spencer Bogaert;;2
2015;UN HOMME A LA HAUTEUR;VVZ Production;Laurent Tirard;Jean Dujardin, Virginie Efira;25/04/16;34
2015;TOUR DE FRANCE;Les Films des Tournelles  ;Rachid Djaïdani;Gerard Depardieu, Sadek, Louise Grinberg, ;15/05/16;7
2015;PERE ET FILS THERAPIE;Incognita Film;Emile Gaudreault;Richard Berry, Waly Dia, Jacques Gamblin;04/10/15;12
2015;MARSEILLE;Eskwad;Kad Merad;Kad Merad, Patrick Bosso;2016;49
